PM2.5,PM10,SO2,CO,O3,NO2
32,12,14,8,28,3
32,12,14,8,29,3
33,13,14,9,30,3
34,13,14,9,30,3
34,13,14,9,31,3
35,14,14,9,32,3
34,13,14,9,33,3
34,13,14,9,35,3
34,13,14,9,36,3
34,13,14,9,37,3
34,13,14,9,37,3
34,13,14,9,38,3
34,13,14,9,38,3
34,13,14,9,39,3
34,13,14,9,40,3
34,13,14,8,39,3
34,13,15,8,38,3
34,13,15,9,37,3
35,13,15,9,37,3
34,13,15,9,37,3
36,14,15,9,38,3
37,14,15,9,38,3
37,14,15,9,40,3
37,14,15,9,41,3
37,14,15,9,43,3
37,14,15,9,44,3
36,14,15,9,46,3
36,14,15,9,47,2
34,13,15,9,48,3
34,13,15,9,50,2
34,13,15,8,51,2
34,13,15,8,52,2
34,13,16,8,53,2
34,13,16,9,54,2
34,13,16,9,56,2
34,13,16,9,58,2
34,13,16,9,59,2
34,13,16,9,60,2
34,13,15,9,61,2
33,13,15,9,62,2
33,13,15,9,63,2
33,13,15,9,64,2
34,13,14,8,65,2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
